date | value
asdkjasdkajsd
!!!!!!!!!!!!!!!!!!!!!!!!!!!!
2011-01-03 | 3 | 4
2011-01-03 | |
2011-01-03 | 3   
   2011-01-03 | 3 
2008-12-31 | 3
2009-01-02 | 3
1990-01-01 | 3
2025-01-01 | 3
2011-01-03 | 0
2011-01-03 | 1000
2011-01-03 | 999.99
2011-01-03 | 1000.01
2011-01-03 | 1000.0000001
2011-01-03 | -1
2011-01-03 | -0.5
2011-01-03 | 1001
2011-01-03 | 2147483648
2011-01-03 | abc
2011-01-03 | 3abc
2011-01-03 | 3.5.5
2011-01-03 | 
2011-01-03 | nan
2011-01-03 | inf
2011-01-03 | +3
2011-01-03 | 1e10
2011-01-03 3
2011-01-03 | | 3
2011-01-03 |
| 3
2011-01-03|3
2011-01-03  |  3
2011-13-01 | 3
2011-00-01 | 3
2011-01-00 | 3
2011-01-32 | 3
2011-02-30 | 3
2011-04-31 | 3
2019-02-29 | 3 
1900-02-29 | 3
2000-02-29 | 3
2011-1-3 | 3
2011/01/03 | 3
01-01-2011 | 3
2011-01-3 | 3
2011-13-01 | 3
20111-01-01 | 3
2011-01 | 3
2011-01-03 | 3
2011-01-03 | 2.5
2012-01-11 | 1
2015-06-01 | 100
2017-12-31 | 0
2022-01-01 | 1
2020-02-29 | 50
